OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,SCHOOL,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,DID,DSEXID,DBDATE,DEDUCATION,CHILDRELATION,OTHERCHILDRELATION,DMAIMED,DOTHERMAIMED,DOTHERMAIMED2,CPARTICLE1,CPARTICLE2,CPARTICLE3,CPARTICLE4,OCCURTIME,RECEIVETIMEYEAR,RECEIVETIMEMONTH,TOWNCODE
6500000000,F,F,,,,F,090,J,,Z,,,,,,072,,B,,,,,,Z,,,,2016,01,6500300000
6400000000,H,E,,,,M,098,A,C,C,,,,,M,056,,A,,,,,,B,,,,2016,01,6400400000
6300000000,H,I,,,,M,097,A,C,C,X,,,,M,056,Z,A,,X,,,,B,,,,2016,01,6300300000
6400000000,F,F,,,,F,093,A,C,Z,X,,,,,065,,B,,,,,,,,,,2016,01,6400500000
6400000000,H,I,,,,M,102,M,A,I,,,,,M,071,Z,A,,,,,,B,,,,2016,01,
1000700000,F,F,,,,F,092,J,C,C,,,,,F,000,,B,,,,,,F,,,,2016,01,1000711000
1001000000,C,C,,,,F,103,J,A,I,X,,,,M,000,,A,,,,,,B,,,,2016,01,1001015000
1000900000,H,H,,,,F,098,J,C,C,,,,,M,046,Z,I,,,,,,F,,,,2016,01,1000915000
6500000000,F,F,,,,M,098,A,C,C,X,,,,M,000,Z,A,,X,,,,BZ,,,,2016,01,6501400000
6500000000,F,F,,,,M,099,A,B,I,,,,,F,000,,A,,,,,,B,,,,2016,01,6500300000
1001900000,H,C,,,,F,102,J,B,Z,X,,,,M,000,,A,,,,,,A,,,,2016,01,
6500000000,F,F,,,,F,096,A,C,C,X,,,,F,073,,A,,,,,,B,,,,2016,01,6502100000
6400000000,H,Z,,,,F,089,A,C,D,X,,,,M,035,,A,,Y,,,,B,A,,,2016,01,6401200000
1000200000,F,F,,,,F,089,A,C,Z,X,,,,,057,,A,,,,,,B,,,,2016,01,1000202000
1001900000,D,D,,,,M,087,A,C,E,,,,,M,055,Z,A,,,,,,,,,,2016,01,6602800000
1002100000,D,D,,,,F,097,A,C,C,Y,,,,M,049,C,A,,X,,,,,,,,2016,01,6700400000
6400000000,D,D,,,,M,094,A,C,C,,,,,M,078,E,G,,,,,,B,,,,2016,01,6400800000
1000300000,H,I,,,,F,091,A,C,D,,,,,M,062,Z,A,,,,,,Z,,,,2016,01,
1000300000,F,F,,,,M,094,A,C,C,Y,,,,,000,,B,,X,,,,B,AB,,,2016,01,1000302000
1001500000,E,F,,,,M,095,X,C,C,X,,,,M,064,D,A,,X,,,,B,,,,2016,01,1001511000
1000300000,H,E,,,,M,099,J,,Z,,,,,,060,,A,,,,,,N,,,,2016,01,1000306000
1000300000,H,E,,,,M,089,A,C,E,X,,,,M,075,,I,,,,,,B,,,,2016,01,1000303000
6400000000,H,E,,,,M,096,A,C,C,X,,,,F,064,,B,,,,,,,C,,,2016,01,6400500000
1001300000,E,F,,,,F,097,A,C,C,X,,,,F,000,Z,B,,,,,,BZ,,,,2016,01,1001301000
1002000000,H,E,,,,M,098,A,B,I,HL,,,,F,078,,B,,,,,,B,,,,2016,01,1002002000
1001500000,F,F,,,,M,093,A,C,C,X,,,,F,068,,B,,,,,,Z,,,,2016,01,1001505000
1002000000,H,E,,,,M,093,J,C,C,,,,,,000,,A,,,,,,B,,,,2016,01,1002001000
1000200000,H,C,,,,M,088,A,C,E,X,,,,M,086,E,I,,X,,,,Z,,,,2016,01,1000208000
6400000000,H,I,,,,F,101,A,A,I,X,,,,M,068,Z,A,,X,,,,B,,,,2016,01,6400500000
6300000000,H,I,,,,F,104,J,A,I,,,,,M,052,Z,A,,,,,,B,,,,2016,01,
1000300000,H,I,,,,F,096,J,C,C,X,,,,M,060,Z,A,,,,,,B,,,,2016,01,
1000300000,H,I,,,,M,103,J,A,Z,,,,,M,000,Z,A,,,,,,B,,,,2016,01,
6400000000,C,C,,,,M,101,A,A,I,X,,,,F,062,,B,,,,,,,,,,2016,01,6401200000
6400000000,H,I,,,,M,095,A,C,C,X,,,,M,052,Z,A,,,,,,B,,,,2016,01,
6400000000,H,I,,,,M,091,A,C,D,Y,,,,F,057,,B,,M,,,,B,A,,,2016,01,
6400000000,H,I,,,,F,092,J,C,D,X,,,,M,067,Z,G,,X,,,,B,,,,2016,01,6401400000
6500000000,F,F,,,,F,090,A,C,D,X,,,,M,000,E,A,,,,,,B,,,,2016,01,6500300000
6500000000,H,I,,,,M,102,A,A,Z,,,,,M,071,Z,A,,,,,,B,,,,2016,01,
1000700000,H,E,,,,F,102,J,A,Z,X,,,,M,073,Z,A,,X,,,,A,,,,2016,01,1000703000
6500000000,F,F,,,,M,095,A,C,Z,X,,,,M,059,E,A,,,,,,,,,,2016,01,6502300000
6500000000,F,F,,,,M,093,A,C,C,X,,,,M,061,D,A,,H,,,,B,,,,2016,01,6500300000
6400000000,H,C,,,,M,101,A,A,I,X,,,,F,067,,B,,X,,,,,,B,,2016,01,6400500000
1001300000,H,I,,,,F,091,M,C,D,X,,,,M,000,Z,I,,,,,,B,,,,2016,01,1001331000
